,time,count,queue
361,5920,3,5
362,5920,3,6
363,5920,3,7
364,6010,2,7
365,6010,1,7
366,6010,0,7
367,6020,3,5
368,6020,3,6
369,6020,3,7
370,6110,2,7
371,6110,1,7
372,6110,0,7
373,6120,3,5
374,6120,3,6
375,6120,3,7
376,6210,2,7
377,6210,1,7
378,6210,0,7
379,6220,3,5
380,6220,3,6
381,6220,3,7
382,6310,2,7
383,6310,1,7
384,6310,0,7
385,6320,3,5
386,6320,3,6
387,6320,3,7
388,6410,2,7
389,6410,1,7
390,6410,0,7
391,6420,3,5
392,6420,3,6
393,6420,3,7
394,6510,2,7
395,6510,1,7
396,6510,0,7
397,6520,3,5
398,6520,3,6
399,6520,3,7
400,6610,2,7
401,6610,1,7
402,6610,0,7
403,6620,3,5
404,6620,3,6
405,6620,3,7
406,6710,2,7
407,6710,1,7
408,6710,0,7
409,6720,3,5
410,6720,3,6
411,6720,3,7
412,6810,2,7
413,6810,1,7
414,6810,0,7
415,6820,3,5
416,6820,3,6
417,6820,3,7
418,6910,2,7
419,6910,1,7
420,6910,0,7
421,6920,3,5
422,6920,3,6
423,6920,3,7
424,7010,2,7
425,7010,1,7
426,7010,0,7
427,7020,3,5
428,7020,3,6
429,7020,3,7
430,7110,2,7
431,7110,1,7
432,7110,0,7
433,7120,3,5
434,7120,3,6
435,7120,3,7
436,7210,2,7
437,7210,1,7
438,7210,0,7
439,7220,3,5
440,7220,3,6
441,7220,3,7
442,7310,2,7
443,7310,1,7
444,7310,0,7
445,7320,3,5
446,7320,3,6
447,7320,3,7
448,7410,2,7
449,7410,1,7
450,7410,0,7
451,7420,3,5
452,7420,3,6
453,7420,3,7
454,7510,2,7
455,7510,1,7
456,7510,0,7
457,7520,3,5
458,7520,3,6
459,7520,3,7
460,7610,2,7
461,7610,1,7
462,7610,0,7
463,7620,3,5
464,7620,3,6
465,7620,3,7
466,7710,2,7
467,7710,1,7
468,7710,0,7
469,7720,3,5
470,7720,3,6
471,7720,3,7
472,7810,2,7
473,7810,1,7
474,7810,0,7
475,7820,3,5
476,7820,3,6
477,7820,3,7
478,7910,2,7
479,7910,1,7
480,7910,0,7
481,7920,3,5
482,7920,3,6
483,7920,3,7
484,8010,2,7
485,8010,1,7
486,8010,0,7
487,8020,3,5
488,8020,3,6
489,8020,3,7
490,8110,2,7
491,8110,1,7
492,8110,0,7
493,8120,3,5
494,8120,3,6
495,8120,3,7
496,8210,2,7
497,8210,1,7
498,8210,0,7
499,8220,3,5
500,8220,3,6
501,8220,3,7
502,8310,2,7
503,8310,1,7
504,8310,0,7
505,8320,3,5
506,8320,3,6
507,8320,3,7
508,8410,2,7
509,8410,1,7
510,8410,0,7
511,8420,3,5
512,8420,3,6
513,8420,3,7
514,8510,2,7
515,8510,1,7
516,8510,0,7
517,8520,3,5
518,8520,3,6
519,8520,3,7
520,8610,2,7
521,8610,1,7
522,8610,0,7
523,8620,3,5
524,8620,3,6
525,8620,3,7
526,8710,2,7
527,8710,1,7
528,8710,0,7
529,8720,3,5
530,8720,3,6
531,8720,3,7
532,8810,2,7
533,8810,1,7
534,8810,0,7
535,8820,3,5
536,8820,3,6
537,8820,3,7
538,8910,2,7
539,8910,1,7
540,8910,0,7
541,8920,3,5
542,8920,3,6
543,8920,3,7
544,9010,2,7
545,9010,1,7
546,9010,0,7
547,9020,3,5
548,9020,3,6
549,9020,3,7
550,9110,2,7
551,9110,1,7
552,9110,0,7
553,9120,3,5
554,9120,3,6
555,9120,3,7
556,9210,2,7
557,9210,1,7
558,9210,0,7
559,9220,3,5
560,9220,3,6
561,9220,3,7
562,9310,2,7
563,9310,1,7
564,9310,0,7
565,9320,3,5
566,9320,3,6
567,9320,3,7
568,9410,2,7
569,9410,1,7
570,9410,0,7
571,9420,3,5
572,9420,3,6
573,9420,3,7
574,9510,2,7
575,9510,1,7
576,9510,0,7
577,9520,3,5
578,9520,3,6
579,9520,3,7
580,9610,2,7
581,9610,1,7
582,9610,0,7
583,9620,3,5
584,9620,3,6
585,9620,3,7
586,9710,2,7
587,9710,1,7
588,9710,0,7
589,9720,3,5
590,9720,3,6
591,9720,3,7
592,9810,2,7
593,9810,1,7
594,9810,0,7
595,9820,3,5
596,9820,3,6
597,9820,3,7
598,9910,2,7
599,9910,1,7
600,9910,0,7
601,9920,3,5
602,9920,3,6
603,9920,3,7
